Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Comentario interno,Fecha de validez,Estatus,Consistencia2,Metodo,10001 / C1 / CEMEX,30000 / A1 / GENERICO,40000 / G10 / CEMEX,40001 / G20 / CEMEX,50001 / ARL / CEMEX,50003 / AR2 / ARENA SECA,60000 / A92 / CEMEX,60001 / M12 / CEMEX,60002 / A55 / CEMEX,60003 / R22 / CEMEX
P003,10000106,10000106,20000096,4-550-2-1-614-E70-D-2-DIA,4-550-2-1-614-E70,ESP,4,      ,550 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,630.00,190.00,480.00,259.00,814.00,,3.78,,7.56,
P003,10000107,10000107,20000097,7-550-2-1-814-E70-D-2-DIA,7-550-2-1-814-E70,ESP,7,      ,550 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000108,10000108,20000098,7-550-2-1-814-E70-D-2-NOC,7-550-2-1-814-E70,ESP,7,      ,550 ,14h,01 ,2 ,1,E70,70 ,D,2   ,NOC,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,690.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000109,10000109,20000099,1-550-1-1-814-E70-B-2-NOC,1-550-1-1-814-E70,ESP,1,      ,550 ,14h,01 ,1 ,1,E70,70 ,B,2   ,NOC,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,690.00,185.00,727.00,,795.00,,4.83,,10.35,
P003,10000110,10000110,20000100,1-550-1-1-814-E70-B-2-DIA,1-550-1-1-814-E70,ESP,1,      ,550 ,14h,01 ,1 ,1,E70,70 ,B,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000111,10000111,20000101,T-350-1-1-814-E70-D-2-DIA,T-350-1-1-814-E70,ESP,T,      ,350 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,560.00,185.00,742.00,,905.00,,4.20,,8.40,
P003,10000112,10000112,20000102,8-550-2-1-814-E70-D-2-DIA,8-550-2-1-814-E70,ESP,8,      ,550 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,469.00,252.00,826.00,,4.22,,7.80,
P003,10000114,10000114,20000104,D-350-1-1-814-E70-D-2-DIA,D-350-1-1-814-E70,ESP,D,      ,350 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,560.00,185.00,742.00,,905.00,,4.20,,8.40,
P003,10000115,10000115,20000105,B-350-1-1-814-E70-D-2-DIA,B-350-1-1-814-E70,ESP,B,      ,350 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,490.00,185.00,720.00,,1001.00,,3.43,,3.43,
P003,10000116,10000116,20000106,Z-350-2-1-146-E70-D-2-DIA,Z-350-2-1-146-E70,ESP,Z,      ,350 ,14h,01 ,2 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,550.00,185.00,458.00,305.00,889.00,,3.92,,8.40,
P003,10000118,10000118,20000108,7-550-1-1-814-E70-D-2-DIA,7-550-1-1-814-E70,ESP,7,      ,550 ,14h,01 ,1 ,1,E70,70 ,D,2   ,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,650.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000119,10000119,20000109,7-550-1-1-814-E70-D-2-NOC,7-550-1-1-814-E70,ESP,7,      ,550 ,14h,01 ,1 ,1,E70,70 ,D,2   ,NOC,1,,01/01/2050,Active,EXTENSIBILIDAD 70 cm +/- 5 cm,,690.00,185.00,700.00,,842.00,,4.55,,7.80,
P003,10000007,10000007,20000008,5-250-2-R-28-18-B-2-000-C,5-250-2-R-28-18,LIN,5,C     ,250 ,28 ,28 ,2 ,R,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,335.00,205.00,333.00,618.00,842.00,,,0.94,,2.20
P003,10000008,10000008,20000008,5-250-2-R-28-18-D-2-000-C,5-250-2-R-28-18,LIN,5,C     ,250 ,28 ,28 ,2 ,R,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,335.00,205.00,333.00,618.00,842.00,,,0.94,,2.20
P003,10000009,10000009,20000009,5-350-2-R-28-18-B-2-000-C,5-350-2-R-28-18,LIN,5,C     ,350 ,28 ,28 ,2 ,R,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,425.00,203.00,296.00,660.00,766.00,,,1.21,,2.62
P003,10000043,10000043,20000041,5-350-2-1-28-18-D-2-000,5-350-2-1-28-18,LIN,5,      ,350 ,28 ,28 ,2 ,1,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,425.00,203.00,296.00,670.00,756.00,,,1.21,,2.62
P003,10000064,10000064,20000057,5-250-1-1-28-18-B-2-000,5-250-1-1-28-18,LIN,5,      ,250 ,28 ,28 ,1 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,370.00,220.00,876.00,,834.00,,,1.48,,2.22
P003,10000077,10000077,20000070,6-150-2-1-28-18-B-2-000,6-150-2-1-28-18,LIN,6,      ,150 ,28 ,28 ,2 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,247.00,208.00,,951.00,905.00,,,0.99,,1.73
P003,10000089,10000089,20000082,6-100-2-1-28-18-B-2-000,6-100-2-1-28-18,LIN,6,      ,100 ,28 ,28 ,2 ,1,18 ,18 ,B,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,250.00,218.00,,941.00,896.00,,,0.75,,1.75
P003,10000050,10000050,20000048,R-065-0-R-28-18-D-2-000,R-065-0-R-28-18,RFL,R,      ,065 ,28 ,28 ,0 ,R,18 ,18 ,D,2   ,000,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,245.00,220.00,,,,1462.00,,,,
